epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,438,,,0.6809413433074951,1.100286841392517
0,438,0.5976730585098267,4.528231143951416,,
1,877,,,0.7518004179000854,0.8026705980300903
1,877,0.8300430178642273,0.5559311509132385,,
2,1316,,,0.7550154328346252,0.9613595604896545
2,1316,0.9361633658409119,0.1931823343038559,,
3,1755,,,0.7722479104995728,0.9752184748649597
3,1755,0.961489200592041,0.13966967165470123,,
4,2194,,,0.7543724179267883,1.0954571962356567
4,2194,0.9592112898826599,0.13662676513195038,,
5,2633,,,0.7591306567192078,0.9685027599334717
5,2633,0.9664009213447571,0.12996414303779602,,
6,3072,,,0.7357252836227417,1.2896639108657837
6,3072,0.9723092317581177,0.11456239223480225,,
7,3511,,,0.7073045372962952,1.542578101158142
7,3511,0.9781622290611267,0.085040383040905,,
